,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5404,0.317,0.881,9,-6.08,1,0.128,0.00021,0.00018,0.282,0.434,166.124,163934,4
5405,0.827,0.838,4,-7.913,0,0.0915,0.00464,0.000161,0.137,0.659,94.99,191373,4
5406,0.623,0.936,0,-9.955,1,0.0528,0.000617,9.86e-05,0.269,0.705,101.514,217133,4
5407,0.521,0.181,0,-23.145,1,0.0457,0.715,0.0174,0.695,0.489,118.635,189107,3
5408,0.416,0.993,2,-2.641,1,0.227,0.0292,0.0,0.958,0.207,148.844,208173,4
5409,0.538,0.266,1,-12.464,1,0.0277,0.41,0.0,0.0639,0.174,106.952,262893,4
5410,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,232147,4
5411,0.405,0.741,0,-7.76,1,0.103,0.416,0.0,0.112,0.406,94.097,166467,4
5412,0.463,0.848,10,-6.766,1,0.051,0.00102,0.00334,0.209,0.481,155.062,252307,4
5413,0.352,0.997,8,-5.189,1,0.117,0.0231,0.777,0.936,0.112,134.192,340547,4
5414,0.556,0.878,2,-7.561,1,0.0351,0.033,0.000449,0.24,0.961,141.758,216360,4
5415,0.318,0.972,9,-4.376,0,0.109,0.00571,0.45,0.969,0.252,96.899,201707,4
5416,0.359,0.491,7,-11.038,1,0.0488,0.125,0.0321,0.967,0.432,149.953,249187,3
5417,0.389,0.938,4,-5.943,0,0.062,0.173,0.385,0.982,0.645,167.999,316453,4
5418,0.524,0.995,9,-2.676,1,0.106,0.0327,0.147,0.0819,0.323,133.596,217640,4
5419,0.493,0.923,1,-5.635,0,0.0439,2.72e-05,0.375,0.987,0.586,123.806,242881,4
5420,0.319,0.853,7,-9.728,1,0.35,0.0224,0.000346,0.923,0.186,151.992,354280,4
5421,0.288,0.906,9,-6.716,1,0.151,0.0053,0.00249,0.691,0.0906,129.702,297134,4
5422,0.558,0.748,9,-12.04,0,0.0623,0.0265,0.818,0.706,0.115,167.912,900200,4
5423,0.667,0.419,4,-9.901,0,0.0272,0.0805,0.342,0.101,0.35,73.974,312133,4
5424,0.117,0.89,5,-5.018,1,0.0758,0.00319,0.868,0.917,0.0647,65.234,329213,4
5425,0.34,0.943,5,-6.161,1,0.0521,0.124,0.00123,0.238,0.496,189.74,253920,4
