song_id,song_name,artist_name
1hIPTXl8fGnLxn4P6qYInV,Hope!,Somni and Harris Cole
5KExA1UDxPw4gJNkqoHPPd,Something Light,Guzimi and Heinrich Schlupf
2wTpKE7LiT9Zd9PTps0AtT,Maranta,Ruth de las Plantas
5dzMrLVdPiXKTt6r3MMwnL,Dale Dale,SpoonBeats and Don Raimundo
66zE85sYeTb6cmVdZbJtK2,it rains all day - Spotify Singles,Bluewerks and Arbour
5STMWcvgi6UiswwZyeWdTG,On & On,Saib and FloFilz
7sik7yXD9i8HzpWqaOeYij,MissMoneypenny,braj mahal
2lT8y1A1nHrxGxdzpWwYxH,Samba Triste - uChill Remix,Stan Getz and Charlie Byrd and uChill
3ImHLPyqf739WgzXKjPqfU,In Perpetuum,beauBAE
6BWFRYskic6vYAzAnLJxaS,New Age,No Spirit and WYS
5MzXBdZbDQOwH7A0dQ13S6,Nyhavn by Night,9ICK and Vienna and Jonathon Muir-Cotton and Soul Food Horns
2mRYo91e0IZu9HPPAIxVAq,Donde Estas?,Fallen Roses
7t72V2dKD4Fkcyk2IIGoVy,Reverie,lofi geek
7akiCIrEtDBy02jXQ21UqR,All My Dreams,Hevi
67zTWJt4224DJJb1Nl5eIn,Twirl,eaup and WOOLFSON
4IJsomqPm1O6fVPkRlP2n3,I am Loving - Spotify Singles,Bluewerks and Oatmello
2gu59fw711MVmz9Y3CgzqD,Saved,DECAP and L.Dre and Seb Zillner
0WMhBPGtuaCXd4XGvQsU7C,Orange Teal,Midnight Hour
4XD9rDOY5TngRnNIdctEMj,Pollen,Dj 113 and Joey Martinez G
7ebe1xN7k4WLIP6ERROxEB,Clementine,No Spirit and Wishes and Dreams
7n5q7Xw96V3ePPCg4Fjm14,eventide,quiet prophet and zandrsun
3dvOTAKXiZDxhwgaIsIH7Y,Lunar Walk,Elijah the Alchemist and I'm.Busy
6pwmLhrlASPSFVwoK7NrGG,Peperomia,Ruth de las Plantas
34KmJ8zj9Fqq2aFWOEA5br,Call Me,wallyPDF
1Ege44big1iOrGLDGKuZW4,Apple Pie,Ghostnaut and Saib
6iaMgVhpbIahis5zcE9Ghh,Vintage,KLIM
1XlLmcGawSaHSysOg5YPbq,Hidden Village,Slacker Jack's
0aPzoF0pSNdrMdVbCxNPoW,Change of Color,No Spirit and Hallucination Orbit and Sitting Duck
6W9YXVte9iLHgZxxGojjDY,SICK,Robert de Boron
4QeyBi2HQ9tGYdEJzwuNVl,Glory,xander. and Ornithology
2iXt75EraZMReN0YcioAoM,Monotation,Seaspray
2Chh97EQ50NBQneZ2BLaIw,Aware,Dontcry and Nokiaa
6MXvV476Xg7iZViG4afY8m,Carrousel,Shin-Ski
2uECuFneO3YfJjEv3kz68w,Effortless,Two Scents
4vkRG4t72qXal8bLjBPXEm,Kaleidoscope,Deusdosol
4K6fxo8ofXPdbetNYNmBaJ,Place,Huey Daze
7CZ2snFzDQgT2htVBk9w4p,[b] how the party gonna be the night before 2050,moow
0eoRZMbmZQLKXIHfw3L60i,Supertele,Undo.
4TG6liVXXKbT98PTeTxHFI,Tibau,Elior and Leave
0dpiqzuKFe5RPFEA38bQ0V,Too Lazy,ᴄᴀᴍᴏᴍɪʟʟᴀ and Laazy
2Nb7ni2c5pxtWSJ359tj1d,Wastin my Time,Hugo
7lXkVQmbP11BaNJcSHc4mt,Mozzafiato,Kokomiko and Simber
0u2uxVKD5EBRoHmmxInQBU,Austice,Toonorth
604c3bQGYjDmDbiYeR8aeK,Bouncing Lemons,Mujo and Hakone
6s3p8Ovbf6Bg9tou17Juie,Downstream,Yasumu
42JzhKGXF2N2mEYkaMsyTu,Ukulele en Pantitlán,SpoonBeats and Don Raimundo and Solo San
09D9d8i2Mgb9xfbKJHF70K,Argan,Casiio and ØDYSSEE and Sleepermane
6MGrnDawb4Aoo0BBZT81Bb,Alarm Clock,xander. and Chris Mazuera
2exLnxLChIibXNuR7VjdBF,Hello Planta,Ozoyo
2CdBQmwqUNAOVdKDAyk3Z1,Change,Snazzy
1fHRxnoWXbDkIzDv5LBwwT,Transcend,9ICK and Ricardo Schneider and Lenny Loops
41GQpT0LbdWocLiw6uACEP,Vinasun,Macem Ly
6RGcJf0l7aBAmAJ4FoLuhl,Eros,Sátyr and No Spirit
6xbWtSRDzwBsdcSXIbwM2R,Everluv,Flughand
0OLOedccgpHlbwbAVbq5E0,Alkaline,goosetaf and Timothy Infinite
22wqLoP5ScL1GjVwrYwNgA,Fine Wine,KRETEK and halfpastseven and Paul Bao
66g2qfKKlTiZjkGcc0F4kp,I Like That,Emapea
6zw41lIJBVge6QrmDXSLSg,cornern,Grmmr.126
4EumqfEVsWUnL6enOFLPIE,All I Need,wallyPDF
2RgPd8HmoF0APf5HM1S2pH,Green in Blue,Jazzinuf
3tOUs9wkRXOMJdXqBRDnxu,Wonderful Day,Tundra Beats
6ZXTDAfPfSOjjMxjAoVlZC,Sunday Afternoons,Tokoyo
6pO0m7Cf1AhEBKHcS4yH05,Viento de Arrabal,Los Bosques and Mindr
24y3w64c2yjFxso3jdleTu,Passing By,Yasumu
65cOromtiQaA40X3WHgo5V,Daylight,MIKEY C
6gu6XZmHNNaQx4u7iOENLg,Thursday,Farnell Newton and Gxldxn Fxnch
32oXFbDI5Qt6QEKiwG9z9c,Our Life Pictured,BluntOne and Baen Mow
4gtztQCytPdo0BwKV841GK,Flashback Magic,Zmeyev and T.Check
6UYkRwlVC8JMyp2hqbrSEM,Answering Machine,anbuu
1afFU8ViYqQo6XMXxyKCfl,island vibes,dLira
5W63nVqPALT80eLdq35jZh,Afternoon Break,Raouf Beats and DreamBetter
5qslhLjrw6sPEFamwdsWtu,grace,LASYA and Sitting Duck
7nnewp76oc3VlMH3rE2PZv,Cozy Winter Day,Linearwave
5pniszt2JxZLIIbrhTPrf6,Kurumi,ORANCHA
0DDRxSTiIvr9BU5Udn622y,Envy - Spotify Singles,Bluewerks and Somni
1i1HVWFKFGdSIpgX65Pgks,SnowBluntz,braj mahal
