song_id,song_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
5MxNLUsfh7uzROypsoO5qe,Dream On,Aerosmith,0.307,0.433,1,-10.057,1,0.029,0.388,9.08e-05,0.332,0.224,160.9,266960,4,1
0J6mQxEZnlRt9ymzFntA6z,Livin' On A Prayer,Bon Jovi,0.534,0.887,0,-3.777,1,0.0345,0.0768,9.93e-05,0.325,0.72,122.494,249293,4,1
4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin',Journey,0.5,0.748,4,-9.072,1,0.0363,0.127,0,0.447,0.514,118.852,250987,4,1
3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,The White Stripes,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,232107,4,1
40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,Eagles,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,391376,4,1
70YvYr2hGlS01bKRIho1HM,La Grange - 2005 Remaster,ZZ Top,0.545,0.64,4,-9.937,0,0.224,0.00249,0.0304,0.196,0.606,80.544,230480,4,1
7Jh1bpe76CNTCgdgAdBw4Z,Heroes - 2017 Remaster,David Bowie,0.49,0.758,7,-6.491,1,0.0297,0.000671,0.484,0.092,0.435,112.114,371413,4,1
3QZ7uX97s82HFYSmQUAN1D,Tom Sawyer,Rush,0.536,0.901,9,-7.211,1,0.0374,0.00145,0.0186,0.06,0.666,87.559,276880,4,1
2KmEgiY8fQs0G6WNxtzQKr,Baba O'Riley,The Who,0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,300400,4,1
4aVuWgvD0X63hcOCnZtNFA,Hold the Line,TOTO,0.473,0.898,6,-4.797,0,0.0561,0.00783,0.0618,0.173,0.808,96.556,235547,4,1
1Ly0ssAgeM7YqdHptao8Oe,Paranoid,Black Sabbath,0.426,0.619,4,-11.501,0,0.0722,8.44e-05,0.00239,0.17,0.382,162.721,168440,4,1
6IMlcKjsIM3l3yXWykTa3y,Police & Thieves - Remastered,The Clash,0.721,0.488,4,-10.294,0,0.067,0.0289,0.038,0.18,0.884,152.287,363373,4,1
3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,Red Hot Chili Peppers,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,264307,4,1
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,AC/DC,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,4,1
5UWwZ5lm5PKu6eKsHAGxOk,Everlong,Foo Fighters,0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,250547,4,1
2PzU4IB8Dr6mxV3lHuaG34,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,222813,4,1
2g7gviEeJr6pyxO7G35EWQ,Paradise By the Dashboard Light,Meat Loaf,0.326,0.872,2,-7.602,1,0.122,0.214,0,0.461,0.492,173.381,508333,4,1
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800,4,1
54flyrjcdnQdco7300avMJ,We Will Rock You - Remastered 2011,Queen,0.693,0.497,2,-7.316,1,0.119,0.679,0,0.258,0.473,81.308,122067,4,1
5BIMPccDwShpXq784RJlJp,Enter Sandman,Metallica,0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331,331573,4,1
4CJVkjo5WpmUAKp3R44LNb,Sweet Home Alabama,Lynyrd Skynyrd,0.597,0.605,7,-12.013,1,0.0255,0.181,0.000331,0.118,0.886,97.782,281147,4,1
2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,Creedence Clearwater Revival,0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,160133,4,1
63OFKbMaZSDZ4wtesuuq6f,Born To Be Wild,Steppenwolf,0.438,0.71,2,-12.412,1,0.0919,0.262,0.537,0.221,0.53,145.928,210373,4,1
6mib3N4E8PZHAGQ3xy7bho,Moonage Daydream - 2012 Remaster,David Bowie,0.56,0.605,11,-11.209,0,0.0348,0.0408,0.000162,0.0585,0.756,144.478,279693,4,1
2sXp9Qmvc7mRaDBjBgcGGi,Every Breath You Take - Remastered 2003,The Police,0.813,0.46,1,-9.78,1,0.0346,0.56,0.0105,0.0724,0.729,117.387,253887,4,1
70Z9t1qhytWtG4cCmmi7mU,I Wanna Rock,Twisted Sister,0.504,0.911,2,-2.97,1,0.0738,0.00512,0.0123,0.355,0.671,106.244,179760,4,1
1oG2vWELiGjIqxwqGcyqwF,You Really Got Me,The Kinks,0.567,0.959,8,-3.822,1,0.102,0.0995,6.07e-05,0.1,0.961,137.377,133933,4,1
0K6yUnIKNsFtfIpTgGtcHm,Limelight,Rush,0.581,0.854,1,-8.485,0,0.0428,0.00197,0.0013,0.111,0.788,131.18,259840,4,1
3qT4bUD1MaWpGrTwcvguhb,Black Dog - Remaster,Led Zeppelin,0.437,0.864,4,-7.842,0,0.0904,0.396,0.0314,0.242,0.749,81.394,295387,4,1
5jzma6gCzYtKB1DbEwFZKH,London Calling - Remastered,The Clash,0.651,0.801,0,-7.34,1,0.0514,0.123,0,0.0825,0.776,133.769,200480,4,1
2EqlS6tkEnglzr7tkKAAYD,Come Together - Remastered 2009,The Beatles,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,259947,4,1
61Q9oJNd9hJQFhSDh6Qlap,House Of The Rising Sun,The Animals,0.315,0.534,9,-7.552,0,0.031,0.000825,0.108,0.101,0.283,116.891,269720,3,1
7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine,Guns N' Roses,0.446,0.952,6,-5.321,1,0.0523,0.0901,0.0857,0.112,0.624,125.303,356067,4,1
6cr6UDpkjEaMQ80OjWqEBQ,Sultans of Swing,Dire Straits,0.73,0.868,5,-7.325,1,0.0288,0.0632,0.0661,0.318,0.923,148.217,350400,4,1
5wj4E6IsrVtn8IBJQOd0Cl,Wonderwall - Remastered,Oasis,0.372,0.865,2,-4.918,1,0.0381,0.000453,0,0.234,0.478,174.53,258733,4,1
5Th6EdNVhxp0TPX41ZLZk6,One Way Or Another - Remastered,Blondie,0.45,0.877,9,-6.403,1,0.0532,0.0118,4.95e-05,0.0699,0.896,162.477,212707,4,1
1FTSo4v6BOZH9QxKc3MbVM,Song 2 - 2012 Remaster,Blur,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802,121160,4,1
11LmqTE2naFULdEP94AUBa,Heart-Shaped Box,Nirvana,0.256,0.641,1,-10.283,1,0.0552,0.199,0.0329,0.0853,0.382,203.006,281160,4,1
7MRyJPksH3G2cXHN8UKYzP,American Girl,Tom Petty and the Heartbreakers,0.55,0.824,2,-5.988,1,0.0334,0.448,0.000127,0.366,0.777,114.512,214733,4,1
5LNiqEqpDc8TuqPy79kDBu,Edge of Seventeen - 2016 Remaster,Stevie Nicks,0.591,0.804,0,-7.299,1,0.0454,0.327,5.98e-06,0.0818,0.658,111.457,329413,4,1
0brrVj6VnvrG70SjRTnEJA,White Riot - Remastered,The Clash,0.168,0.974,2,-4.862,1,0.0655,0.000598,0.783,0.295,0.609,205.278,116440,4,1
6L89mwZXSOwYl76YXfX13s,Basket Case,Green Day,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,181533,4,1
5FqYA8KfiwsQvyBI4IamnY,Jump - 2015 Remaster,Van Halen,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981,241600,4,1
0RO9W1xJoUEpq5MEelddFb,Stairway to Heaven - Remaster,Led Zeppelin,0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,482830,4,1
61MZN0yyMWSEwrLPUUGfgJ,Sheena Is a Punk Rocker - 2017 Remaster,Ramones,0.42,0.965,0,-1.986,1,0.0403,0.0981,0.000335,0.0784,0.846,176.243,169920,4,1
0pQskrTITgmCMyr85tb9qq,Starman - 2012 Remaster,David Bowie,0.486,0.449,5,-10.298,1,0.0267,0.166,2.23e-06,0.54,0.549,100.456,254293,4,1
1AhDOtG9vPSOmsWgNW0BEY,Bohemian Rhapsody - Remastered 2011,Queen,0.414,0.404,0,-9.928,0,0.0499,0.271,0,0.3,0.224,71.105,354320,4,1
43DeSV93pJPT4lCZaWZ6b1,The Boys Are Back In Town,Thin Lizzy,0.445,0.706,8,-9.803,1,0.0461,0.234,0.000252,0.205,0.768,80.823,266720,4,1
5o37x6LpNSec4jSfPIChsQ,We Got The Beat - 2011 Remaster,The Go-Go's,0.595,0.996,2,-3.418,1,0.0599,0.195,0.0345,0.0351,0.376,152.049,151107,4,1
6ADSaE87h8Y3lccZlBJdXH,With Or Without You - Remastered,U2,0.54,0.429,2,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171,295516,4,1
5zH710lFSLtkHbMkslLDjR,Crazy On You,Heart,0.427,0.459,9,-12.442,0,0.0332,0.116,0.000103,0.132,0.383,129.878,293440,4,1
5fKZJHzJ9d3MADArbm9muW,Mountain Song,Jane's Addiction,0.324,0.931,9,-6.803,1,0.0837,0.0155,0.0252,0.277,0.313,82.748,242720,4,1
7HQrFPtLEpgTJaEVujH8OO,Rock and Roll - Remaster,Led Zeppelin,0.317,0.879,9,-7.533,1,0.0406,0.00091,0.00142,0.0972,0.849,169.534,220880,4,1
7GonnnalI2s19OCQO1J7Tf,Kickstart My Heart,Mötley Crüe,0.359,0.981,7,-3.622,0,0.303,0.00125,0.00236,0.284,0.271,178.98,282653,4,1
2IZZqH4K02UIYg5EohpNHF,Zombie,The Cranberries,0.307,0.635,7,-8.957,1,0.0339,0.0154,0.00483,0.366,0.304,166.973,306427,4,1
32kgOw8wejH7zUhtXCM8DH,More Than a Feeling,Boston,0.377,0.682,7,-8.039,1,0.0299,0.000894,0.00217,0.0504,0.288,108.736,285133,4,1
12yHvSYFXI7PGzNecUvIDu,Saturday Night’s Alright (For Fighting) - Remastered 2014,Elton John,0.513,0.979,0,-6.362,1,0.0425,0.0195,0.0951,0.0906,0.94,152.875,295466,4,1
18AXbzPzBS8Y3AkgSxzJPb,In The Air Tonight - 2015 Remastered,Phil Collins,0.446,0.239,0,-13.945,1,0.0316,0.551,4.1e-06,0.0697,0.298,189.507,336453,4,1
2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,Jimi Hendrix,0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,240800,4,1
57bgtoPSgt236HzfBOd8kj,Thunderstruck,AC/DC,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,292880,4,1
4cMHCRLPNoEbpnl2rz6GS9,Back on the Chain Gang - 2007 Remaster,Pretenders,0.598,0.901,2,-6.081,1,0.0359,0.116,0.0401,0.178,0.814,153.24,231120,4,1
66lOpKgTyFjOrac4S1s94g,Rebel Rebel - 1999 Remaster,David Bowie,0.676,0.92,9,-7.96,1,0.0435,0.00101,8.65e-06,0.248,0.624,126.341,269360,4,1
6ToM0uwxtPKo9CMpbPGYvM,Break on Through (To the Other Side),The Doors,0.421,0.751,9,-9.584,1,0.0472,0.2,0,0.17,0.789,89.839,145867,4,1
0dOg1ySSI7NkpAe89Zo0b9,Born in the U.S.A.,Bruce Springsteen,0.398,0.952,4,-6.042,1,0.061,0.000373,7.75e-05,0.1,0.584,122.093,278680,4,1
57iDDD9N9tTWe75x6qhStw,Bitter Sweet Symphony,The Verve,0.356,0.917,9,-6.006,1,0.0479,0.0335,0,0.406,0.518,171.176,357267,4,1
7iLGljK0LNpGamQQEOuCRC,Won't Get Fooled Again - Original Album Version,The Who,0.686,0.92,2,-6.231,1,0.0566,0.301,0.27,0.0807,0.225,135.027,511400,4,1
1gzIbdFnGJ226LTl0Cn2SX,White Wedding - Pt. 1,Billy Idol,0.673,0.814,9,-5.411,1,0.0367,0.0133,0.00293,0.343,0.728,147.193,252200,4,1
4e9hUiLsN4mx61ARosFi7p,The Spirit Of Radio,Rush,0.365,0.924,4,-7.066,1,0.0488,0.0144,0.000254,0.423,0.632,135.811,296467,4,1
4DMKwE2E2iYDKY01C335Uw,Carry on Wayward Son,Kansas,0.482,0.786,7,-5.735,1,0.032,0.00321,8.88e-05,0.446,0.793,126.755,323000,4,1
7wCmS9TTVUcIhRalDYFgPy,Where Is My Mind? - Remastered,Pixies,0.519,0.441,4,-14.178,1,0.0353,0.0204,0.000453,0.076,0.25,81.334,234973,4,1
7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine,Guns N' Roses,0.454,0.91,6,-7.766,1,0.0448,0.0866,0.0996,0.116,0.629,125.116,354520,4,1
7990Xs9HQx7FXVIDVPEwj9,Rock And Roll All Nite,KISS,0.656,0.931,1,-5.827,1,0.0976,0.046,0,0.0543,0.909,144.747,168733,4,1
3SUusuA9jH1v6PVwtYMbdv,Last Nite,The Strokes,0.624,0.899,0,-5.709,1,0.0296,0.0221,0.000137,0.0975,0.79,104.061,193373,4,1
0vOkmmJEtjuFZDzrQSFzEE,Hit Me With Your Best Shot,Pat Benatar,0.741,0.58,4,-9.05,1,0.0304,0.117,3.31e-05,0.212,0.944,127.402,171267,4,1
2aSFLiDPreOVP6KHiWk4lF,Under Pressure - Remastered 2011,Queen and David Bowie,0.663,0.712,2,-7.268,1,0.0479,0.524,0,0.0804,0.527,113.439,236520,4,1
1L94M3KIu7QluZe63g64rv,Alive,Pearl Jam,0.284,0.875,11,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009,340907,4,1
2fICdpdRotwfmGYzvs8Ngf,Rock You Like a Hurricane - 2015 - Remaster,Scorpions,0.402,0.873,4,-3.209,0,0.0586,0.00484,7.3e-05,0.157,0.684,125.443,253667,4,1
0rmGAIH9LNJewFw7nKzZnc,You Give Love A Bad Name,Bon Jovi,0.541,0.96,0,-2.947,0,0.0505,0.0663,2.25e-06,0.344,0.812,122.803,222707,4,1
5Z8EDau8uNcP1E8JvmfkZe,School's Out,Alice Cooper,0.294,0.745,5,-9.138,1,0.0461,0.05,0.125,0.676,0.347,134.364,210107,4,1
6GtX0jaNL8IjVQfrDBx81z,Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,0.404,0.72,10,-9.18,0,0.0623,5.59e-05,0.836,0.0466,0.475,121.864,258467,4,1
1RJeiAIwR9pZBgJA8ndZLL,"Paint It, Black - Mono",The Rolling Stones,0.505,0.836,5,-7.384,0,0.101,0.0103,0.0771,0.295,0.764,159.669,204480,4,1
2X6gdRlGOQgfaXU9ALUQFQ,The Chain,Fleetwood Mac,0.546,0.529,9,-13.6,1,0.0436,0.0629,0.000567,0.0383,0.574,151.727,271000,4,1
0nFKHCf1Ibij8m370l2KlZ,Good Times Roll - 2016 Remaster,The Cars,0.631,0.689,4,-8.358,1,0.0284,0.0731,0.000357,0.102,0.645,107.667,225227,4,1
5WyuRWUcOOhAic0tj9Pl28,Satellite of Love,Lou Reed,0.458,0.502,5,-10.186,1,0.0294,0.442,5.51e-06,0.299,0.571,121.861,221120,4,1
3Vby4nGmtbDo7HDJamOWkT,Stuck In The Middle With You,Stealers Wheel,0.82,0.575,7,-9.144,1,0.0408,0.0936,0.000135,0.109,0.964,123.765,208947,4,1
3mcG2NI5G5vhrQtRda1YnA,The Middle,Jimmy Eat World,0.629,0.897,2,-3.401,1,0.0483,0.0424,0,0.263,0.93,161.944,168253,4,1
5e6x5YRnMJIKvYpZxLqdpH,Fortunate Son,Creedence Clearwater Revival,0.636,0.746,0,-3.785,1,0.0393,0.0648,0.29,0.173,0.432,132.31,138053,4,1
1pXgBjIvALm97lDhroan2E,Times Like These - Acoustic Version,Foo Fighters,0.588,0.559,4,-4.849,0,0.0272,0.128,0,0.0977,0.278,123.845,238587,4,1
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,233713,4,1
0q75NwOoFiARAVp4EXU4Bs,Love Galore (feat. Travis Scott),SZA and Travis Scott,0.795,0.594,0,-6.2,1,0.0748,0.112,0,0.162,0.409,135.002,275080,4,1
